label,sentence
0,john bought any picture of queen elizabeth .
1,john bought any picture of queen elizabeth that was on sale .
1,"every philosopher is sometimes wrong , but he usually does n't admit it ."
0,any lion is generally majestic .
0,any lion is rare .
1,"any female tiger has orange fur , marked with black stripes ."
1,birds fly .
1,any bird flies .
1,all fugitives are in jail now .
1,all lizards will die .
0,yesterday john talked to any woman .
1,yesterday john talked to any woman he saw .
1,snow is white and snow is not white .
1,any man did n't eat dinner .
1,mary talks to any student .
0,mary talked to any angry student .
1,mary talked to any student who was angry .
0,mary talked to any actual student .
0,any pilot on duty today must be flying this plane .
1,any pilot must be out flying planes today .
1,every student read any book on giraffes he found .
0,you must pick any flower in this bed .
1,you may pick any of the flowers .
0,you must pick any of the flowers .
0,mary picked any of the flowers .
1,you may pick every flower .
1,"you may pick any flower , but leave a few for mary ."
1,you may pick any five flowers .
1,mary did n't pick any of the flowers .
1,pick any flower .
1,confiscate any liquor .
1,pick any of these flowers .
0,confiscate any of this liquor .
0,mary did n't see almost every flower .
0,mary did n't see almost any flower .
1,every student in mary 's class is working on negative polarity .
1,there were twenty students at the lecture and every student who was there said it was inspiring .
0,there were twenty students at the lecture and any student who was there said it was inspiring .
1,we have many graduate students but this year the graduate director met with every student in the graduate program individually to discuss their progress .
0,we have many graduate students but this year the graduate director met with any student in the graduate program individually to discuss their progress .
1,susan found every book she had been looking for at borders .
0,susan found any book she had been looking for at borders .
1,paul has interviewed every student who was at the scene of the crime and kate has interviewed them too .
0,paul has interviewed any student who was at the scene of the crime and kate has interviewed them too .
0,professor smith would support sue and prof jones bill .
1,there is every book by chomsky in this library .
0,there is any book by chomsky in this library .
1,there 's everything mary had asked for in this store .
0,there 's anything mary had asked for in this store .
1,there is any book you could imagine in this library .
1,there 's anything mary could desire in this store .
1,that evening john laughed with everybody he talked to .
1,that evening john laughed with anybody he talked to .
1,john talked to everybody who came up to him at the party .
1,john talked to anybody who came up to him at the party .
1,bill offered mary everything he had cooked for dinner .
0,bill offered mary anything he had cooked for dinner .
1,those days bill offered mary everything he cooked .
1,those days bill offered mary anything he cooked .
1,john made a fool of himself in front of everyone who was there .
1,john made a fool of himself in front of anyone who was there .
1,mary sang for everyone who wanted to hear her .
1,mary sang for anyone who wanted to hear her .
1,john slipped in front of everyone who was there .
0,john slipped in front of anyone who was there .
1,at 4 p.m . i saw john lecturing to everyone who was near him .
0,at 4 p.m . i saw john lecturing to anyone who was near him .
1,john knew every language that we encountered on our trip .
1,john knew any language that we encountered on our trip .
1,john liked everything that was placed before him .
1,john liked anything that was placed before him .
1,"at the end of his speech , the president thanked any soldier who had fought in the gulf war ."
1,bob does not think that there is anyone from greece in his basement .
1,can anyone pledge $ 1000 ?
1,is it possible for everyone to to pledge $ 1000 ?
1,is there someone who can pledge $ 1000 ?
1,"if anybody comes , he rings the doorbell ."
1,every student who wins any trophy displays it in a prominent place .
0,john saw anything .
1,john did n't see anything .
0,some who read anything passed .
1,every who read anything passed .
1,no student who read anything passed .
0,some answered any question .
0,every student answered any question .
1,any cat does n't like mice .
1,every cat does n't like mice .
1,"every cat does n't like mice , for example felix does n't ."
1,"almost every cat likes mice , but felix does n't ."
0,"every cat does n't like mice , but felix does n't ."
1,"almost every cat likes mice , for example felix does n't ."
1,the dodgers beat the red sox and the dodgers were beaten by the giants .
1,the dodgers beat the red sox and the giants beat the dodgers .
1,different teams beat the red sox and were beaten by the giants .
1,john gave the books to mary and the records to sue .
1,how many did you buy of those pies at the fair ?
1,how many have you given of these books to these people .
0,the man chased fido returned .
1,the man that chased fido returned .
1,the man i think chased fido returned .
0,the man i think that chased fido returned .
1,the man who i think chased fido returned .
0,the man who i think that chased fido returned .
1,who did you think mary saw ?
1,how slowly would you say he was driving ?
1,how suspicious was mary ?
1,who saw the man ?
1,who do you think that you saw ?
0,who do you think that saw you ?
1,who do you regret that you saw ?
0,who do you regret that saw you ?
1,who do you think you saw ?
1,who do you think saw you ?
0,who do you regret you saw ?
0,who do you regret saw you ?
0,who did you believe that came ?
0,who did you wonder whether came ?
0,who did you wonder if came ?
0,who did you arrange for to come ?
0,which table did you wonder on kim put the book ?
0,which did you buy the table on kim put the book ?
0,what do you believe that iron is to be a fact well known to virtually everybody ?
0,who did you wonder saw kim ?
0,which did you buy the table supported the book ?
0,"the fact , i put it down to that kim came ."
0,"the table , i put kim on which supported the book ."
1,who is it that mary likes ?
1,he was talkative .
1,he was a bully .
1,he was talkative and a bully .
0,the talkative and a bully man entered .
0,talkative and a bully entered .
0,john is easy to please and to love mary .
0,the man who mary loves and sally hates george computed my tax .
1,john is easy to please and to love .
1,the kennel which mary made and fido sleeps in has been stolen .
1,the kennel in which mary keeps drugs and fido sleeps has been stolen .
0,the kennel in which mary made and fido sleeps has been stolen .
1,john saw more horses than bill saw or pete talked to .
1,john saw more horses than bill saw cows or pete talked to cats .
0,john saw more horses than bill saw cows or pete talked to .
1,i know a man who bill saw and mary liked .
1,i know a man who saw bill and liked mary .
0,i know a man who bill saw and liked mary .
1,i wonder who bill saw and mary liked .
0,i wonder who bill saw and liked mary .
1,i wonder who mary likes and hopes will win .
0,john asked who and where bill had seen .
1,which book and which pencil did john buy ?
0,where and when did bill put the book ?
1,on which table and under which flower pot did john put the keys ?
1,to which city and to which conference did bill go ?
1,to which city and which conference did bill go ?
1,which city and which conference did bill go to ?
0,which city and which conference did bill go to to ?
0,which city and to which conference did bill go to ?
0,to which city and which conference did bill go to ?
0,"john , who and whose friends you saw , is a fool ."
1,"john , to who and to whose friends that letter was addressed , is a fool ."
1,i wonder when and how often she went that day .
1,i wonder who and whose friends he handed over to the fbi .
1,i have wanted to know exactly what happened to rosa luxemburg for many years .
1,i have wanted to know for many years exactly what happened to rosa .
1,i had hoped that it was true that rosa luxemburg had actually defected to iceland for many years .
1,i had hoped that it was true for many years that rosa luxemburg had actually defected to iceland .
1,i have wanted to meet the man who spent so much money planning the assassination of kennedy for many years .
1,i have wanted to meet for many years the man who spent so much money planning the assassination of kennedy .
1,the woman believed that the man was ill who was here .
1,the woman believed that the man who was here was ill .
1,the woman who was here believed that the man was ill .
1,a woman hit a girl who was pregnant .
1,people are said to do crazier things at higher speeds there by dorothy than they are by other people .
1,people are said to do such crazy things at such high speeds there by dorothy that i am getting skeptical .
1,a woman hit a pregnant girl .
1,a pregnant woman hit a girl .
1,a man just came in and a woman went out who were similar in all kinds of ways .
1,a man just came in and a woman went out who hate each other like poison and always have .
0,i find it easy to believe - but joan finds it hard to believe - tom to be dishonest .
0,"john offered , and harry gave , sally a cadillac ."
0,"john told , and harry showed , seymour that sally was a virgin ."
1,jack may be and tony certainly is a werewolf .
1,harry has claimed but i do not believe that melvin is a communist .
1,i like but tom does n't like to visit new places .
1,"i can tell you when , but i ca n't tell you why , he left me ."
1,"i 've been wondering whether , but would n't positively want to state that ."
1,"john hummed , and mary sang , the same tune ."
1,"john hummed , and mary sang , at equal volumes ."
1,"john gave mary , and joan presented to fred , books which looked ."
1,"the red sox beat , and the giants were beaten by , different teams ."
1,"smith loaned , and his widow later donated , a valuable collection of manuscripts to the library ."
1,which club did you hit the winning putt with ?
1,with which club did you hit the winning putt ?
1,ethel was sitting at her desk .
0,the ethel was sitting at her desk .
0,accountant was sitting at her desk .
1,the accountant was sitting at her desk .
1,accountants audit our finances every year .
0,i would like an accountants to sort out my tax return .
1,some accountants were quietly counting in the back office .
1,would more accountants make any difference to my tax bill ?
1,the truck spread salt .
1,the truck spread the salt .
1,the truck spread salts .
1,this truck spread less salt than that one .
0,this truck spread fewer salt than that one .
1,there are fewer trucks on the motorway this winter .
1,there are less trucks on the motorway this winter .
0,the white rabbit vanished his watch .
1,dogs chase cats .
0,dogs chase .
1,flora cooks .
1,flora cooks gourmet meals .
1,the cat shot into the kitchen on sunday morning carrying a dead mouse .
1,the cat sauntered into the kitchen carrying a dead mouse .
1,maisie drove her car from morningside to leith on wednesday .
1,on wednesday maisie drove her car from morningside to leith .
1,maisie drove her car on wednesday from morningside to leith .
1,jeeves sauntered into the room .
0,into jeeves sauntered the room .
1,into the room sauntered jeeves .
1,which room did jeeves sauntered into ?
1,into which room did jeeves sauntered ?
1,barbara handed the results to alan on tuesday .
1,the pupils in this maths class gave cakes to margaret every .
1,cakes were given to margaret every friday by the pupils in this maths class .
1,this parcel is very heavy .
1,this very heavy parcel was delivered yesterday .
1,"very heavy , this parcel !"
1,what this parcel is is very heavy .
1,we felled the murder with this chainsaw .
1,with this chainsaw we felled the murder .
1,barbara handed the intriguing results of the latest examination to alan on tuesday .
1,barbara handed them to alan on tuesday .
1,this large parcel is very heavy .
1,this large parcel is very heavy and so is this small packet .
1,vera is knitting in the lounge .
1,vera is knitting there .
1,grandma is coming to mr chalky 's school tomorrow .
1,grandma is coming here tomorrow .
1,the cat was sleeping in the kitchen .
1,the cat trotted into the kitchen .
1,the mouse jumped out of the cheese box .
1,the mouse was out the cheese box .
1,the cat trotted in the kitchen .
1,the cat trotted in .
1,the mouse jumped out .
1,the terrier attacked the burglar .
1,the terrier savaged the burglar 's ankles .
1,the terrier attacked the burglar and the terrier savaged the burglar 's ankles .
1,the terrier attacked the burglar and savaged the burglar 's ankles .
1,did the wealthy young man buy that piano for his secret fianc茅e ?
1,who bought that piano for his secret fianc茅e ?
1,what did the wealthy young man buy for his secret fianc茅e ?
1,who did the wealthy young man buy that piano for ?
1,the wealthy young man bought his secret fianc茅e that piano .
1,that piano was bought for his secret fianc茅e by the wealthy young man .
1,"i do n't like the plum brandy , but the port i just love ."
1,frank bought the piano for jane .
1,frank bought jane the piano .
1,the piano was bought for jane by frank .
1,the piano frank bought for jane .
1,did frank buy the piano for jane ?
1,did frank buy jane the piano ?
1,was the piano bought for jane by frank ?
1,what did frank buy for jane ?
1,frank bought something for jane .
1,did frank buy something for jane .
1,what did frank buy for jane .
1,the children chased the dog .
1,the cook saved no scraps for the dog .
1,sarah devoured the cakes in the kitchen last night .
1,mr knightley despaired .
1,emma slighted miss bates .
1,jane fairfax seemed upset .
1,mr woodhouse sat in an armchair .
1,mr knightley walked into the drawing room .
1,mr elton handed his wife into the carriage .
1,emma gave bad advice to harriet .
1,mr knightley suggested that thieves would break into hartfield .
1,eleanor blamed willoughby for marianne 's unhappiness .
1,eleanor blamed marianne 's unhappiness on willoughby .
1,the romans built this aqueduct .
1,the computer will calculate the value of the variable .
1,these objections killed the proposal .
0,lecturer was sitting at her desk .
1,too much salt damages vehicles .
0,too much vehicles are damaged by salt .
0,too many salt damages vehicles .
1,too many vehicles are damaged by salt .
1,frank churchill gave a piano to jane fairfax .
1,a piano was given to jane fairfax by frank churchill .
1,wickham eloped with lydia .
1,miss bates can chatter on for hours .
1,henry crawford loved fanny but fanny loved edmund .
1,mr bingley became tired of jane or mr d'arcy persuaded mr .
1,elizabeth regretted that she had met wickham .
1,catherine feared that the abbey was haunted .
1,that anne was in conversation with mr elliott dismayed captain .
1,fanny was delighted by the idea that she could subscribe to a library .
1,who thought up the proposal that the committee be abolished ?
1,the cottage which mrs dashwood accepted was rather small .
1,the gentleman who saved marianne was willoughby .
1,the building that we liked is in thornton lacey .
1,it was anne elliott who loved captain wentworth but who rejected his first proposal .
1,a motorist has reported that the road is blocked by snow at bunker hill .
1,the labrador ate all the food which we left on the kitchen table .
1,show me the folder in which you stored the documents .
1,i like the book that you gave me .
1,i love the food they cook in the halls of residence .
1,a motorist has reported the road is blocked at bunker hill .
1,i am delighted at the idea they might demolish the appleton tower .
1,the cottage which mrs dashwood accepted was very small .
1,anne musgrave has just seen mr elliott in bath street .
1,nurse rooke has discovered where anne elliott stayed .
1,nurse rooke suspected that mrs clay planned to run away with .
1,anne astonished her father .
1,that captain wentworth married anne astonished her father .
1,sir walter elliott imagined the scene .
1,sir walter elliott imagined that he was still handsome .
1,yesterday lydia eloped with wickham .
1,lydia eloped with wickham yesterday .
1,"when lydia went to brighton , she eloped with wickham ."
1,lydia eloped with wickham when she went to brighton .
1,because of the strike the commuters travelled by army lorry .
1,the commuters travelled by army lorry because of the strike .
1,"because the bus drivers were on strike , the commuters travelled by army lorry ."
1,the commuters travelled by army lorry because the bus drivers were on strike .
1,although mr d'arcy disliked mrs bennet he married elizabeth .
1,"in spite of his dislike of mrs bennet , mr d'arcy married elizabeth ."
1,"if emma had left hartfield , mr woodhouse would have been unhappy ."
1,did captain wentworth write a letter to anne elliott ?
1,write a letter to anne elliott .
0,"because did marianne love willoughby , she refused to ."
0,"if did emma leave hartfield , mr woodhouse would be unhappy ."
0,"when did fanny return , she found tom bertram very ill ."
0,the cottage which did mrs dashwood accept was rather small .
0,catherine feared that was the abbey haunted .
1,the girls wondered who mr bennet had received in his library .
1,we were wondering who did you meet at the conference .
1,she said that in came aunt norris .
1,she said that into the room came aunt norris .
0,the person who in came at that moment was aunt norris .
0,"because in came aunt norris , fanny stopped talking ."
0,"when in came aunt norris , fanny stopped talking ."
0,"because into the room came aunt norris , fanny stopped talking ."
0,"when into the room came aunt norris , fanny stopped talking ."
1,never had sir thomas been so offended .
0,the person who never had he been so offended was sir thomas .
0,"because never had sir thomas been so offended , even mr yates left ."
0,"when never had sir thomas been so offended , mr yates left ."
1,"dr jones habitually ate too much rich food , did n't he ?"
0,"we realised that dr jones died because he ate too much rich food , did n't he ?"
0,the person who ate too much rich food did n't he was dr .
0,"because dr jones ate too much rich food did n't he , he died of apoplexy ."
0,"when dr jones died of apoplexy did n't he , mary crawford went to live with his wife ."
1,fanny stopped talking because in came aunt norris .
0,because in came aunt norris fanny stopped talking .
1,mr yates left because never had sir thomas been so offended .
0,"because never had sir thomas been so offended , mr yates left ."
0,fanny stopped talking when in came aunt norris .
0,when in came aunt norris fanny stopped talking .
0,fanny continued talking although in came aunt norris .
0,"although in came aunt norris , fanny continued talking ."
1,fanny had just stopped talking when in came aunt norris .
1,fanny regretted talking to mary .
1,henry wanted to marry fanny .
1,"mrs bennet having taken the others upstairs , mr bingley proposed to ."
1,all mr collins does is praise lady de bourg .
1,lady de bourg tried to persuade elizabeth to renounce mr d'arcy .
1,henry wanted to have married fanny before edmund returned .
1,fanny regretted having talked to mary .
1,what mr collins is doing is praising lady de bourg .
0,fanny regretted being talking to mary .
0,all mr collins has done is have praised lady de bourg .
1,julia and maria wanted to be allowed to perform a play .
1,edmund wanted fanny to be able to ride a horse .
0,henry wanted to possibly marry fanny .
1,fanny loved talking to mary .
1,"slamming the door , he ran down the steps ."
0,he was knowing the country well .
1,"when ripe , these apples will be delicious ."
1,the tigers hunt prey at night .
1,fiona hoped to meet the prime minister .
1,arthur tried to bake a cake .
1,fiona persuaded arthur to bake a cake .
1,susan wanted jane to study german .
1,ayala went to the ball and chatted to jonathan stubbs .
0,ayala went to the ball and jonathan stubbs chatted to .
1,ayala went to the ball and was chatted to by jonathan stubbs .
1,all the beatles came to merle park .
1,the beatles all came to merle park .
1,both jane and elizabeth were at home .
1,jane and elizabeth were both at home .
1,larry hunted all the foxes .
0,larry all hunted the foxes .
0,larry hunted the foxes all .
1,george built both the houses .
0,george both built the houses .
0,george built the houses both .
1,all the foxes were hunted by larry .
1,augusta blamed herself for what happened .
1,these documents elizabeth is checking at this very moment .
1,louise broke the cup .
1,alison drove the car .
1,martha chewed the bread .
1,the cup was broken by louise .
1,the car was driven by alison .
1,the bread was chewed by martha .
1,these fields were marched over by all the armies of europe .
1,how is someone to chat to a girl if she does not go out ?
1,all the armies of europe marched over these fields .
1,ayala sent back the diamond necklace .
1,ayala sent the diamond necklace back .
1,ayala sent her cousin the diamond necklace .
0,ayala sent back her cousin the diamond necklace .
1,tatiana wrote to onegin .
1,frank bought a piano for jane .
1,lucy sent a letter to jane .
1,lucy sent jane a letter .
1,the company sent china its senior mining engineers to help plan the new mines .
0,the experts attributed raphael this picture .
0,i forwarded winifred the letter .
0,the manager presented the foreman a gold watch .
0,kick john the ball .
0,the critics ascribe shakespeare this play .
1,who did john send a book to ?
1,to whom did john send a book ?
1,what place did you travel to ?
1,to what place did you travel ?
1,what place did john send the book ?
0,who was the book sent by john .
0,what place was the book sent by john ?
1,only to the best students would he give this book .
0,only the best students would he give this book .
1,only to glasgow would he go by train .
0,only glasgow would he travel by train .
1,it is to the best students that he gives this book .
0,it is the best students he gives this book .
1,it is to ireland that he is going .
0,it is ireland that he is going .
1,he told her the whole story .
1,she told him the whole story .
1,the other plan she rejected out of hand .
1,the vase got broken that sheila had brought all the way from .
1,the plan was rejected out of hand that traffic should be banned .
1,norman lemming jumped off the cliff and william lemming did so too .
1,norman lemming jumped off the cliff and so did william lemming .
1,harriet could n't marry mr knightley but emma could .
1,what harriet did was marry mr martin .
1,marry mr martin was what harriet did .
1,emma insulted miss bates and annoyed mr knightley .
1,harriet swooned .
1,the book is astonishingly boring .
1,the ethel we all know and love wishes to ask you some awkward questions .
1,golfers can be good company .
1,enthusiastic golfers with large handicaps can be good company .
1,these enthusiastic golfers that i met at the nineteenth hole can be good company .
0,golfer who is in training has a pretty powerful swing .
1,memo ate the spaghetti .
1,memo liked lasagna .
1,emma made harriet her friend .
1,the quiche and i were cooking .
1,erika made her mother an omelet and the kitchen a mess .
1,bill went to london on monday .
1,bill went on monday to london .
1,my brother lives near strasbourg .
1,near strasbourg my brother lives .
1,he planted the garden with roses last november .
1,he planted the garden last november with roses .
1,the baby chewed the biscuit .
1,the baby is heavy .
1,what the baby did was chew the biscuit .
1,the baby was chewing the biscuit .
1,chew the biscuit !
1,hartfield house is in surrey .
1,mr knightley rode to kingston .
1,eleanor and marianne travelled from shropshire .
1,frank gave a piano to jane fairfax .
1,jane fairfax received a piano from frank .
1,the thief smashed the window with a hammer .
1,captain wentworth recovered the property for mrs smith .
1,the window was broken by a hammer .
1,wren built st paul 's cathedral .
1,siobhan burnt a pattern on the piece of wood .
